Idx_Sample;Ref.;Mixture Code in Ref;SiO2;Al2O3;Fe2O3;CaO;MgO;Na2O;K2O;SO3;TiO2;P2O5;SrO;Mn2O3;MnO;LOI;FA_SiO2;FA_Al2O3;FA_Fe2O3;FA_CaO;FA_MgO;FA_Na2O;FA_K2O;FA_SO3;FA_TiO2;FA_P2O5;FA_SrO;FA_Mn2O3;FA_MnO;FA_LOI;GGBFS_SiO2;GGBFS_Al2O3;GGBFS_Fe2O3;GGBFS_CaO;GGBFS_MgO;GGBFS_Na2O;GGBFS_K2O;GGBFS_SO3;GGBFS_TiO2;GGBFS_P2O5;GGBFS_SrO;GGBFS_Mn2O3;GGBFS_MnO;GGBFS_LOI;OtherSCM_SiO2;OtherSCM_Al2O3;OtherSCM_Fe2O3;OtherSCM_CaO;OtherSCM_MgO;OtherSCM_Na2O;OtherSCM_K2O;OtherSCM_SO3;OtherSCM_TiO2;OtherSCM_P2O5;OtherSCM_SrO;OtherSCM_Mn2O3;OtherSCM_MnO;OtherSCM_LOI;SF_SiO2;SF_Al2O3;SF_Fe2O3;SF_CaO;SF_MgO;SF_Na2O;SF_K2O;SF_SO3;SF_TiO2;SF_P2O5;SF_SrO;SF_Mn2O3;SF_MnO;SF_LOI;Kaolin_SiO2;Kaoliin_Al2O3;Kaolin_Fe2O3;Kaolin_CaO;Kaolin_MgO;Kaolin_Na2O;Kaolin_K2O;Kaolin_SO3;Kaolin_TiO2;Kaolin_P2O5;Kaolin_SrO;Kaolin_Mn2O3;Kaolin_MnO;Kaolin_LOI;OPC_SiO2;OPC_Al2O3;OPC_Fe2O3;OPC_CaO;OPC_MgO;OPC_Na2O;OPC_K2O;OPC_SO3;OPC_TiO2;OPC_P2O5;OPC_SrO;OPC_Mn2O3;OPC_MnO;OPC_LOI;Fine modulus (m2/kg);Specific gravity;OPC (kg/m3);FA (kg/m3);GGBFS (kg/m3);SF (kg/m3);MK (kg/m3);Other SCM (kg/m3);OPC density (kg/m3);FA density (kg/m3);GGBFS density (kg/m3);SF density (kg/m3);MK density (kg/m3);Other SCM density (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg in 1m3 mix);Total aggregates (kg in 1m3 mix);Coarse Agg density (kg/m3);Fine Agg density (kg/m3);NaOH specific gravity;Na2SiO3 specific gravity;Total Na2SiO3 (kg in 1m3 of mix);Na2O (l);SiO2 (l);H2O;Na2O (Dry);SiO2 (Dry);Water;Total NaOH (kg in 1m3 mix);Concentration (M) NaOH;Water;NaOH (Dry);Additional water (kg in 1m3 mix);Superplasticizer (kg in 1m3 mix);Total water (in solutions + additional) (kg in 1m3 mix);Initial curing time (day) ;Initial curing temp (C);Initial curing rest time (day);Final curing temp (C);Cube D (mm);Cylinder D (mm);Cylinder H (mm);1-d Cubic compressive strength (MPa);3-d Cubic compressive strength (MPa);7-d Cubic compressive strength (MPa);14-d Cubic compressive strength (MPa) ;21-d Cubic compressive strength (MPa);28-d Cubic compressive strength (MPa);56-d Cubic compressive strength (MPa);90-d Cubic compressive strength (MPa) ;180-d Cubic compressive strength (MPa);365-d Cubic compressive strength (MPa) ;4 HOURS Cylindrical compressive strength (MPa);1-d Cylindrical compressive strength (MPa);2-d Cylindrical compressive strength (MPa);3-d Cylindrical compressive strength (MPa);4-d Cylindrical compressive strength (MPa);5-d Cylindrical compressive strength (MPa);7-d Cylindrical compressive strength (MPa);12-d Cylindrical compressive strength (MPa);14-d Cylindrical compressive strength (MPa);21-d Cylindrical compressive strength (MPa);28-d Cylindrical compressive strength (MPa);56-d Cylindrical compressive strength (MPa) ;90-d Cylindrical compressive strength (MPa);180-d Cylindrical compressive strength (MPa) ;365-d Cylindrical compressive strength (MPa);3-d fst-cube (MPa);7-d fst-cube (MPa);14-d fst-cube (MPa);21-d fst-cube (MPa);28-d fst-cube (MPa);56-d fst-cube (MPa);180-d fst-cube (MPa);3-d fst-cylinder (MPa);7-d fst-cylinder (MPa);14-d fst-cylinder (MPa);21-d fst-cylinder (MPa);28-dfst-cylinder (MPa);56-d fst-cylinder (MPa);90-d fst-cylinder (MPa);180-d fst-cylinder (MPa);365-d fst-cylinder (MPa);3-d Ec (MPa);7-d Ec (MPa);14-d Ec (MPa);21-d Ec (MPa);28-d Ec (MPa);56-d Ec (MPa);90-d Ec (MPa);180-d Ec (MPa) ;365-d Ec (MPa);3-d WA (%);7-d WA (%);14-d WA (%);21-d WA (%);28-d WA (%);56-d WA (%);90-d WA (%);180-d WA (%);365-d WA (%);3-d Porosity/AVPV (%);7-d Porosity/AVPV (%);14-d Porosity/AVPV (%);21-d Porosity/AVPV (%);28-d Porosity/AVPV (%);56-d Porosity/AVPV (%);90-d Porosity/AVPV (%);180-d Porosity/AVPV (%);365-d Porosity/AVPV (%);3-d Water permeability (mm);7-d Water permeability (mm);14-d Water permeability (mm);21-d Water permeability (mm);28-d Water permeability (mm);56-d Water permeability (mm);90-d Water permeability (mm);180-d Water permeability (mm);365-d Water permeability (mm);3-d Abrasion resistance (mm);7-d Abrasion resistance (mm);14-d Abrasion resistance (mm);21-d Abrasion resistance (mm);28-d Abrasion resistance (mm);56-d Abrasion resistance (mm);90-d Abrasion resistance (mm);180-d Abrasion resistance (mm);365-d Abrasion resistance (mm);3-d UPV (m/s);7-d UPV (m/s);14-d UPV (m/s);21-d UPV (m/s);28-d UPV (m/s);56-d UPV (m/s);90-d UPV (m/s);180-d UPV (m/s);365-d UPV (m/s);3-d sorptivity(m/s^0.5);7-d sorptivity(m/s^0.5);14-d sorptivity(m/s^0.5);21-d sorptivity(m/s^0.5);28-d sorptivity(m/s^0.5);56-d sorptivity(m/s^0.5);90-d sorptivity(m/s^0.5);180-d sorptivity(m/s^0.5);365-d sorptivity(m/s^0.5);Slump (mm);flowtable;Seeting I;Setting F;"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
11;[2];FA-I;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;;1,39;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;0;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;476;;;;;;;;;;;1294;554;1848;;;2,13;1,53;120;0,147;0,294;0,56;17,64;35,28;67,08;48;14;21,12;26,88;0;0;88,2;0,166666667;90;0;24;;100;200;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112,4009889
12;[2];FA-I;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;;1,39;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;0;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;476;;;;;;;;;;;1294;554;1848;;;2,13;1,53;120;0,147;0,294;0,56;17,64;35,28;67,08;48;14;21,12;26,88;0;0;88,2;1;30;0;24;;100;200;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,6579333
13;[2];FA-I;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;;1,39;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;0;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;476;;;;;;;;;;;1294;554;1848;;;2,13;1,53;120;0,147;0,294;0,56;17,64;35,28;67,08;48;14;21,12;26,88;0;0;88,2;1;60;0;24;;100;200;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127,9079333
14;[2];FA-I;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;;1,39;53,36;26,49;10,86;1,34;0,77;0,37;0,8;1,7;1,47;1,43;0;0;0;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;476;;;;;;;;;;;1294;554;1848;;;2,13;1,53;120;0,147;0,294;0,56;17,64;35,28;67,08;48;14;21,12;26,88;0;0;88,2;1;90;0;24;;100;200;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147,1579333
15;[2];FA-III;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;;1,61;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;0;1,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1294;554;1848;;;2,13;1,53;103;0,147;0,294;0,56;15,14;30,28;57,577;51,5;14;22,66;28,84;16,5;0;96,737;1;60;0;24;;100;200;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125,2693333
16;[2];FA-III;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;;1,61;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;0;1,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1294;554;1848;;;2,13;1,53;103;0,147;0,294;0,56;15,14;30,28;57,577;51,5;14;22,66;28,84;16,5;4,1;99,197;1;60;0;24;;100;200;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132,9773333
17;[2];FA-III;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;;1,61;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;0;1,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1294;554;1848;;;2,13;1,53;103;0,147;0,294;0,56;15,14;30,28;57,577;51,5;14;22,66;28,84;16,5;8,2;101,657;1;60;0;24;;100;200;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140,6853333
18;[2];FA-III;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;;1,61;48;29;12,7;1,78;0,89;0,39;0,55;0,5;1,67;1,69;0;0;0;1,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1294;554;1848;;;2,13;1,53;103;0,147;0,294;0,56;15,14;30,28;57,577;51,5;14;22,66;28,84;16,5;16,3;106,517;1;60;0;24;;100;200;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155,9133333
19;[2];FA-II;47,8;24,4;17,4;2,42;1,99;0,31;0,55;0,29;1,328;2;0;0;;1,1;47,8;24,4;17,4;2,42;1,99;0,31;0,55;0,29;1,328;2;0;0;0;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1201;647;1848;;;2,13;1,53;103;0,147;0,294;0,56;15,14;30,28;57,577;41;12;21,32;19,68;14,3;6,1;96,857;1;60;0;24;;100;200;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;119,1959333
20;[2];FA-II;47,8;24,4;17,4;2,42;1,99;0,31;0,55;0,29;1,328;2;0;0;;1,1;47,8;24,4;17,4;2,42;1,99;0,31;0,55;0,29;1,328;2;0;0;0;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;408;;;;;;;;;;;1201;647;1848;;;2,13;1,53;103;0,147;0,294;0,56;15,14;30,28;57,577;41;12;21,32;19,68;14,3;6,1;96,857;1;60;1;24;;100;200;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;;;;119,1959333
