feature_1,feature_2,feature_3,feature_4,feature_5,target
3.1077,1.4331,1.6052,2.4902,2.3707,3.4472
6.2617,2.5648,4.85,4.7786,1.9478,-0.8778
2.1774,2.2102,0.914,6.1114,5.7125,1.7416
3.5183,1.9703,5.5807,4.2385,2.4573,0.0735
3.1867,3.293,5.8308,3.59,4.1993,-1.2069
0.3284,2.055,0.3544,1.1299,5.8178,2.4388
5.8937,4.4868,4.6036,2.9012,5.8517,-2.3976
2.5536,4.2927,4.0835,3.7622,1.3951,-0.9568
4.2874,5.517,5.0059,2.7144,5.7672,-2.6237
4.9124,4.56,0.7845,5.7573,2.4361,-1.2667
1.8531,3.875,2.9396,1.6043,5.2716,1.144
1.1223,1.427,4.1461,3.0104,0.4615,1.3126
0.8731,0.7056,3.002,3.3948,6.0197,1.2508
3.6681,3.3091,5.7947,5.7759,1.5834,-0.2836
4.2891,6.0587,1.426,4.4989,5.0125,-2.489
5.8858,5.3641,2.6487,0.0342,0.2191,-0.7151
0.0874,3.7002,2.4064,0.7214,5.4315,0.2217
5.1626,4.6338,5.28,2.5229,4.7037,-2.936
3.5163,3.8531,1.873,3.7849,2.6746,-0.0393
3.3838,3.0582,3.1409,5.7646,1.6517,0.3291
0.3123,2.9072,2.5649,3.0602,0.4431,1.9281
3.6575,6.2016,1.3137,1.3344,6.039,1.3602
4.4419,3.7257,2.393,4.0133,3.1569,-1.454
0.5642,1.8672,5.2034,1.1024,5.6831,1.433
3.6965,0.1039,2.3249,0.2647,0.7997,1.2236
1.1264,1.0459,5.5524,5.6923,1.4791,1.6639
2.5589,2.9604,5.2165,1.8347,1.0922,1.3721
2.8786,5.6701,3.7381,2.5925,2.5488,0.2239
1.9383,1.9973,2.6081,4.0097,4.9968,0.1045
0.2327,4.6153,4.8542,1.5358,6.1894,-0.7707
4.2412,5.6094,1.5272,0.3248,4.4594,-1.5977
6.0147,0.1435,5.7374,4.5759,6.003,-1.7649
1.7162,1.0719,2.027,1.7419,3.0825,4.2935
0.8213,4.6381,0.8817,3.5855,3.3511,-0.3268
1.4673,2.9964,2.9201,5.0644,0.1168,0.6451
4.4788,1.577,4.1502,3.9989,0.3581,-0.864
4.517,2.1358,3.4535,4.6767,1.1216,-0.1057
1.5752,0.8412,0.9473,5.9001,6.1038,2.1973
0.8957,1.2307,0.6308,0.514,4.8278,1.7214
1.3217,2.9039,0.5279,2.0829,6.2098,2.8427
5.6566,5.437,2.4144,4.4019,0.2333,-1.5945
3.1499,0.7156,4.6099,2.7446,2.0545,1.8084
4.7218,1.6532,3.0481,0.0412,0.0331,0.082
3.5667,2.2178,2.3566,2.294,1.9417,2.6076
1.0738,6.152,4.8699,6.1082,3.3016,-0.2048
1.4983,3.0482,3.7023,3.1446,2.6997,1.1238
1.5761,0.3608,4.0424,1.5802,1.2033,3.3333
3.2088,2.3922,5.7612,0.3281,2.3722,1.319
3.1273,3.6401,5.074,5.6078,2.9666,-1.9857
0.6201,4.5707,3.0728,4.4136,2.2453,-0.5141
1.2175,2.1207,3.4338,6.025,5.7552,0.4545
4.4403,5.4396,1.4337,5.0371,4.6441,-2.8575
1.2232,0.9258,2.3077,2.2017,0.6964,3.8816
1.0683,4.1338,5.9472,1.6052,0.6874,1.3454
4.9328,3.0714,3.8454,5.6439,2.4578,-1.3095
0.6797,1.9898,0.1272,3.7273,3.6726,0.6957
4.3414,4.2111,1.4781,3.6799,1.2385,-0.7469
4.1122,4.0746,1.2627,0.1475,4.8969,-1.9509
0.0828,4.0145,4.7442,4.0362,5.3515,-2.6719
3.9695,1.9061,2.599,1.0555,5.0755,0.7874
2.739,2.4858,3.5611,4.88,5.9335,-0.3003
2.0598,1.4539,4.448,5.3598,0.1506,0.2806
1.5612,2.4697,1.4156,2.8578,5.2308,1.2661
3.8547,0.6398,2.5824,5.6975,1.6286,0.8837
0.8765,1.5063,5.6853,2.1119,1.0144,3.2858
1.8817,3.565,2.728,3.8512,3.4294,-0.4794
4.4216,5.1283,5.4388,1.6736,5.3649,-2.8873
1.6948,1.6884,5.7432,2.9208,3.8044,1.4705
2.0361,5.3683,6.172,4.9791,2.1831,-0.4254
1.2238,5.063,1.386,4.6043,4.9723,-0.6593
0.3432,1.502,1.8459,0.9843,3.5596,3.0377
2.2546,2.0209,5.4521,1.9242,3.1772,1.3448
